dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
Caesar's Triumph,Games,20,Ethereum,0,60,https://github.com/GigLabs/CryptoRome-LandSale?utm_source=StateOfTheDApps,Live,"Aug 6th, 2018",Private
HashKings,Games,2,Steem,58,7,https://github.com/dpdanpittman/hashkings-2D-UI?utm_source=StateOfTheDApps,Live,"Dec 10th, 2018",MIT
Vimm,Media,39,Steem,0,0,null,WIP,"Dec 20th, 2018",Proprietary
First Blood,Games,0,Ethereum,15,0,https://github.com/Firstbloodio?utm_source=StateOfTheDApps,Live,"Feb 8th, 2017",GPL
DigixGlobal,Finance,25,Ethereum,109,0,https://github.com/DigixGlobal?utm_source=StateOfTheDApps,Live,"Apr 29th, 2015",Proprietary
Replin,Marketplaces,11,Ethereum,0,0,null,Live,"Jul 20th, 2019",Unknown license
Equilibrium - EOSDT,Finance,30,EOS,17,2180081,https://github.com/equilibrium-eosdt?utm_source=StateOfTheDApps,Live,"May 7th, 2019",GNU Affero General Public License v3.0
SODA,Finance,4,Ethereum,0,4,https://github.com/sodacrypto?utm_source=StateOfTheDApps,Live,"Jul 30th, 2019",Unknown license
Multiven Open Marketplace,Marketplaces,1,Ethereum,0,0,https://github.com/Multiven-Group-BV?utm_source=StateOfTheDApps,Live,"Feb 23rd, 2018",MIT
MyWish,Development,1,Ethereum,362,0,https://github.com/mywishplatform?utm_source=StateOfTheDApps,Live,"Feb 22nd, 2019",Unknown license
Primas,Social,10,Ethereum,2,0,https://github.com/primasio?utm_source=StateOfTheDApps,Live,"Sep 26th, 2018",Apache 2.0
Tornado Cash,Finance,6,Ethereum,138,1787,https://github.com/peppersec/tornado-mixer?utm_source=StateOfTheDApps,Beta,"Aug 5th, 2019",GPL
district0x,Marketplaces,18,Ethereum,196,0,https://github.com/district0x?utm_source=StateOfTheDApps,Beta,"Jun 12th, 2017",GPL 3.0
MLB Crypto Baseball,Games,24,Ethereum,0,1932,null,Live,"Sep 11th, 2018",Unknown license
Cent,Social,5,Ethereum,0,402,null,Beta,"Aug 28th, 2017",Proprietary
