Name,category,Balance,User,Volume24,Volume7d,Txn24,Txn7d,platform,github,smartContract
World Builder,high-risk,2100,11,15,18,47,709,  TRON,null,0
Plague Inc.,gambling,118.3,11,18,105,33,187,  ETH,null,0
BitGem,games,42.06,11,452,3400,22,292,  ETH,null,2
PokerChained,gambling,553.82,10,102,803,4400,26400,  EOS,null,1
Big Winner - ÎÇ_Î__µ¢Î¬_,gambling,1900,10,0,0,2900,19900,  EOS,null,0
HiGold Miner,high-risk,0.8,10,0,0,8800,60400,  EOS,null,1
CryptoFlowers TRON,collectibles,0,10,9,52,66,7000,  TRON,null,1
FragDex,other,107500,10,185,1600,16,155,  TRON,null,0
888bet,gambling,14900,10,21900,149100,4400,22300,  TRON,null,7
SportCrypt,gambling,263.86,10,0,507,22,225,  ETH,null,1
Switcheo Network,exchanges,1100,10,57900,141200,336,2400,  ETH,null,1
Cent,other,201.93,9,20,537,14,76,  ETH,null,0
Tron Building,high-risk,0.000196,9,0,3,13,79,  TRON,null,1
signupeoseos,other,0,9,51,6300,12,136,  EOS,null,0
Chintai,other,39500,9,31800,153300,1300,9000,  EOS,null,1
EosNow,gambling,775.37,9,102,322,1200,3900,  EOS,null,4
WordProof Timestamp,other,10.55,9,0,0,988,4400,  EOS,null,2
SingularX,exchanges,914.13,9,181,21000,37,159,  ETH,null,1
iBank,other,15500,9,7600,19900,19,131,  EOS,null,0
Chain Clash,games,1.18,9,0,0,150,860,  EOS,null,2
Blaze Economy,gambling,22900,9,3400,38300,208,12900,  TRON,null,12
TronWin,gambling,663500,9,3900,8200,2000,12800,  TRON,null,9
IOSTVegas,gambling,307800,9,567,24100,1300,47700,  IOST,null,3
Spank.live,other,0,8,0,0,8,27,  ETH,null,0
Minds,other,0.09,8,60,450,20,152,  ETH,null,0
HumanityDAO,other,0,8,0,6,13,90,  ETH,null,6
Monolith,other,261.51,8,0,0,13,57,  ETH,['https://github.com/tokencard/'],2
ToBet,gambling,36.13,8,0,216,52,735,  EOS,null,2
Namedex,marketplaces,14.35,8,0,8,8,12,  EOS,null,1
eos.discussions.app,other,1,8,0,0,30,194,  EOS,null,0
EOS Account Creator,other,135.01,8,52,3200,31,150,  EOS,null,1
EOSDACRandom,other,0,8,0,0,1400,28300,  EOS,null,1
BLOCKLORDS,games,5200,8,44,1500,80,970,  TRON,null,0
DutchX,exchanges,0,8,0,0,159,1500,  ETH,null,0
CryptoSpells,games,0,8,0,0,34,206,  ETH,null,1
EOS Pack,high-risk,11.34,7,0,0,10,92,  EOS,null,4
Chibi Fighters,games,11200,7,1,18,15,189,  TRON,null,0
Tron Farm,high-risk,21700,7,0,128,11,71,  TRON,null,1
Alice,other,0,7,0,0,20,46,  LOOM,null,0
 Encrypted Journey - Î_æÎ¿Ê«Ë_,other,0,7,0,0,16,180,  ONT,null,1
STname,exchanges,2100,7,70,1500,18,145,  EOS,null,0
Hydro Pay,other,0,7,0,0,53,242,  ETH,null,3
Fire Lotto,gambling,1200,7,24,179,33,161,  ETH,null,3
Fair City,games,23.75,6,0,0,8,155,  ETH,null,2
OnePlay,gambling,857.85,6,2,57,3200,22300,  EOS,null,3
Chaince,exchanges,17.99,6,0,122,10,158,  EOS,null,4
Dabble,other,185.56,6,0,0,5800,38300,  EOS,null,0
Poker Pro,gambling,0,6,0,0,62,87,  EOS,null,1
Yup,other,0.66,6,0,0,13,386,  EOS,null,2
CatchTheFrog,gambling,30.09,6,2,37,45,495,  EOS,null,1
SpiderDEX,marketplaces,0,6,991,5700,8,156,  ETH,null,1
LORDLESS,games,2.53,6,0,2,10,37,  ETH,null,18
TRONDAPPHUB,gambling,420.481648,6,176,4700,257,32300,  TRON,null,1
Dicether,gambling,52.12,6,50,563,13,100,  ETH,null,7
DubiEx,exchanges,88.69,6,23100,52600,12,77,  ETH,null,1
HyperSnakes,games,395000,6,9,8700,790,24800,  TRON,null,3
Blackjack (PKT),gambling,87000,6,11,1400,72,930,  TRON,null,2
Fishing Master ,gambling,9800,6,561,7900,17,2500,  TRON,null,11
BetSand,gambling,3500,6,122,2000,568,3800,  EOS,null,0
Blockchain Cuties,games,909.96,5,1,37,11,152,  EOS,null,1
Crazy Dogs Live,gambling,192100,5,15,1800,18,1200,  TRON,null,7
Top Bidder,other,24.74,5,0,17,19,155,  EOS,[],0
EthBattle,gambling,0.26,5,8,32,8,25,  ETH,null,0
Builder,high-risk,1.00E-06,5,0,0,5,37,  TRON,null,1
Betace,gambling,49.11,5,0,0,2700,32300,  EOS,null,0
P3T WORLD,high-risk,1300000,5,0,52,6,52,  TRON,null,3
VSbet - PvP _Öµ«Î¿__Ö,gambling,865.53,5,10700,16300,572,3300,  EOS,null,0
Mango,gambling,223400,5,102,220,45,500,  IOST,null,5
Dether,exchanges,0,5,0,147,15,85,  ETH,null,2
Betoken,other,7.71,5,2,6,12,110,  ETH,null,0
MonsterBit,collectibles,0.03,5,4,94,8,34,  ETH,null,1
Win.town,gambling,54.14,5,0,0,5,5,  EOS,null,1
Royal Online Vegas (TRON),gambling,534200,5,37,164,100,544,  TRON,null,0
